id_hecho,federal,tipo_persona,tipo_persona_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre,localidad_id,localidad_nombre,latitud,longitud,anio,mes,fecha_hecho,hora_hecho,calle_nombre,calle_altura,calle_interseccion,calle_interseccion_nombre,semaforo_estado,tipo_lugar,modo_produccion_hecho,modo_produccion_hecho_ampliada,modo_produccion_hecho_otro,clima_condicion,clima_otro,motivo_origen_registro,motivo_origen_registro_otro,victima_sexo,victima_tr_edad,victima_18_años_o_mas,victima_clase,victima_clase_otro,victima_vehiculo,victima_vehiculo_ampliado,victima_vehiculo_otro,victima_identidad_genero,inculpado_sexo,inculpado_tr_edad,inculpado_18_años_o_mas,inculpado_vehiculo,inculpado_vehiculo_ampliado,inculpado_vehiculo_otro,inculpado_identidad_genero
13092,No,Víctima,Víctima idRegistro 16647,66,Salta,66056,Grl. José de San Martín,220,Tartagal,-23,-64,2017,1,01-15-17,6:45,RUTA NACIONAL N° 34,,Sí,ALTURA VIRGEN DE LA PEÑA,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,25.0-29,No corresponde,Acompañante,,Automóvil,Automóvil,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13093,No,Imputado,Imputado idRegistro 13503,66,Salta,66028,Capital,50,Salta,-25,-65,2017,1,01-16-17,0:42,EX COMBATIENTES DE MALVINAS,,Sí,INGRESO B° SAN CARLOS,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,35.0-39,Sí,Colectivo,Colectivo,,Varón
13093,No,Víctima,Víctima idRegistro 16648,66,Salta,66028,Capital,50,Salta,-25,-65,2017,1,01-16-17,0:42,EX COMBATIENTES DE MALVINAS,,Sí,INGRESO B° SAN CARLOS,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,35.0-39,No corresponde,Conductor,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13094,No,Imputado,Imputado idRegistro 13504,66,Salta,66112,Metán,40,San José de Metán (Est. Metán),-26,-65,2017,1,01-16-17,4:50,RUTA NACIONAL 9/34,,Sí,KM 1471,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,35.0-39,Sí,Colectivo,Colectivo,,Varón
13094,No,Víctima,Víctima idRegistro 16649,66,Salta,66112,Metán,40,San José de Metán (Est. Metán),-26,-65,2017,1,01-16-17,4:50,RUTA NACIONAL 9/34,,Sí,KM 1471,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Femenino,15.0-19,No corresponde,Acompañante,,Automóvil,Automóvil,,Mujer,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13094,No,Víctima,Víctima idRegistro 16650,66,Salta,66112,Metán,40,San José de Metán (Est. Metán),-26,-65,2017,1,01-16-17,4:50,RUTA NACIONAL 9/34,,Sí,KM 1471,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Femenino,15.0-19,No corresponde,Acompañante,,Automóvil,Automóvil,,Mujer,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13095,No,Imputado,Imputado idRegistro 13505,66,Salta,66056,Grl. José de San Martín,220,Tartagal,-23,-64,2017,1,01-20-17,20:24,CALLE 24 DE SETIEMBRE,,Sí,FACUNDO QUIROGA,Sin determinar,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,15.0-19,No,Camión,Camión,,Varón
13095,No,Víctima,Víctima idRegistro 16651,66,Salta,66056,Grl. José de San Martín,220,Tartagal,-23,-64,2017,1,01-20-17,20:24,CALLE 24 DE SETIEMBRE,,Sí,FACUNDO QUIROGA,Sin determinar,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Femenino,10.0-14,No corresponde,Acompañante,,Motocicleta,Motocicleta,,Mujer,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13096,No,Imputado,Imputado idRegistro 13506,66,Salta,66007,Anta,90,Joaquín V. González,-25,-64,2017,1,01-23-17,21:00,RUTA NACIONAL 16,,Sí,KM 622 ALTURA PARAJE EL CEIBALITO,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,60.0-64,Sí,Camión,Camión,,Varón
13096,No,Víctima,Víctima idRegistro 16652,66,Salta,66007,Anta,90,Joaquín V. González,-25,-64,2017,1,01-23-17,21:00,RUTA NACIONAL 16,,Sí,KM 622 ALTURA PARAJE EL CEIBALITO,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,65.0-69,No corresponde,Conductor,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13097,No,Imputado,Imputado idRegistro 13507,66,Salta,66126,Orán,20,Colonia Santa Rosa,,,2017,1,01-25-17,21:49,RUTA NACIONAL N° 34,,Sí,ALTURA RÍO SECO,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,45.0-49,Sí,Camión,Camión,,Varón
13097,No,Víctima,Víctima idRegistro 16653,66,Salta,66126,Orán,20,Colonia Santa Rosa,,,2017,1,01-25-17,21:49,RUTA NACIONAL N° 34,,Sí,ALTURA RÍO SECO,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,55.0-59,No corresponde,Conductor,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13098,No,Imputado,Imputado idRegistro 13508,66,Salta,66028,Capital,50,Salta,-25,-65,2017,1,01-26-17,18:45,Av. Juan XXIII,,Sí,PACHECO DE MELO,Sin determinar,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Sin determinar,Sin determinar,Sí,Motocicleta,Motocicleta,,Sin determinar
13098,No,Víctima,Víctima idRegistro 16654,66,Salta,66028,Capital,50,Salta,-25,-65,2017,1,01-26-17,18:45,Av. Juan XXIII,,Sí,PACHECO DE MELO,Sin determinar,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,55.0-59,No corresponde,Conductor,,Bicicleta,Bicicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13099,No,Imputado,Imputado idRegistro 13509,66,Salta,66028,Capital,10,Atocha,,,2017,1,01-28-17,19:00,AVDA. LUNA,,Sí,RUTA PROVINCIAL 99,Sin determinar,Calle,Colisión vehículo-objeto,Colisión vehículo-objeto,Choque con arbol,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Sin determinar,Sin determinar,Sí,Sin determinar,Sin determinar,,Sin determinar
13099,No,Víctima,Víctima idRegistro 16655,66,Salta,66028,Capital,10,Atocha,,,2017,1,01-28-17,19:00,AVDA. LUNA,,Sí,RUTA PROVINCIAL 99,Sin determinar,Calle,Colisión vehículo-objeto,Colisión vehículo-objeto,Choque con arbol,Sin determinar,,Intervención policial,,Masculino,35.0-39,No corresponde,Conductor,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13100,No,Imputado,Imputado idRegistro 13510,66,Salta,66007,Anta,10,Apolinario Saravia,-24,-64,2017,1,01-29-17,4:50,AV. SARMIENTO,,Sí,AV. 9 DE JULIO,Sin determinar,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,25.0-29,Sí,Motocicleta,Motocicleta,,Varón
13100,No,Víctima,Víctima idRegistro 16656,66,Salta,66007,Anta,10,Apolinario Saravia,-24,-64,2017,1,01-29-17,4:50,AV. SARMIENTO,,Sí,AV. 9 DE JULIO,Sin determinar,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,20.0-24,No corresponde,Acompañante,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13101,No,Imputado,Imputado idRegistro 13511,66,Salta,66028,Capital,50,Salta,-25,-65,2017,1,01-31-17,11:17,Mza 320 C Casa 17,0,Sí,B° SAN BENITO,Sin determinar,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,60.0-64,Sí,Camioneta,Camioneta,,Varón
13101,No,Víctima,Víctima idRegistro 16657,66,Salta,66028,Capital,50,Salta,-25,-65,2017,1,01-31-17,11:17,Mza 320 C Casa 17,0,Sí,B° SAN BENITO,Sin determinar,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,65.0-69,No corresponde,Peatón,,No corresponde,Sin vehiculo,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13102,No,Imputado,Imputado idRegistro 13512,66,Salta,66126,Orán,60,Pichanal,,,2017,1,05-01-17,20:30,RUTA NACIONAL N° 50,,Sí,Km. 1331 altura Finca Muzo,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,40.0-44,Sí,Automóvil,Automóvil,,Varón
13102,No,Víctima,Víctima idRegistro 16658,66,Salta,66126,Orán,60,Pichanal,,,2017,1,05-01-17,20:30,RUTA NACIONAL N° 50,,Sí,Km. 1331 altura Finca Muzo,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,20.0-24,No corresponde,Conductor,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13103,No,Imputado,Imputado idRegistro 13513,66,Salta,66007,Anta,100,Las Lajitas,-25,-64,2017,2,03-02-17,0:49,AV. SAN MARTIN,,Sí,MENDOZA B° CENTRO,Sin determinar,Calle,Otro,Caída del ocupante,Caída del vehículo,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Sin determinar,Sin determinar,Sí,Sin determinar,Sin determinar,,Sin determinar
13103,No,Víctima,Víctima idRegistro 16659,66,Salta,66007,Anta,100,Las Lajitas,-25,-64,2017,2,03-02-17,0:49,AV. SAN MARTIN,,Sí,MENDOZA B° CENTRO,Sin determinar,Calle,Otro,Caída del ocupante,Caída del vehículo,Sin determinar,,Intervención policial,,Masculino,25.0-29,No corresponde,Conductor,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13104,No,Imputado,Imputado idRegistro 13514,66,Salta,66007,Anta,130,Nuestra Señora de Talavera,,,2017,2,05-02-17,20:12,RUTA NACIONAL N° 16,,Sí,KM 563,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,30.0-34,Sí,Automóvil,Automóvil,,Varón
13104,No,Víctima,Víctima idRegistro 16660,66,Salta,66007,Anta,130,Nuestra Señora de Talavera,,,2017,2,05-02-17,20:12,RUTA NACIONAL N° 16,,Sí,KM 563,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,45.0-49,No corresponde,Conductor,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13105,No,Imputado,Imputado idRegistro 13515,66,Salta,66035,Cerrillos,40,Villa Los Álamos,-25,-65,2017,2,06-02-17,8:50,RUTA NACIONAL 68,,Sí,KM 177 ALTURA INGRESO LOS ALAMOS,Sin determinar,Ruta Nacional,Colisión vehículo-persona,Colisión vehículo-persona,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,45.0-49,Sí,Colectivo,Colectivo,,Varón
13105,No,Víctima,Víctima idRegistro 16661,66,Salta,66035,Cerrillos,40,Villa Los Álamos,-25,-65,2017,2,06-02-17,8:50,RUTA NACIONAL 68,,Sí,KM 177 ALTURA INGRESO LOS ALAMOS,Sin determinar,Ruta Nacional,Colisión vehículo-persona,Colisión vehículo-persona,,Sin determinar,,Intervención policial,,Femenino,15.0-19,No corresponde,Peatón,,No corresponde,Sin vehiculo,,Mujer,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13106,No,Imputado,Imputado idRegistro 13516,66,Salta,66112,Metán,70,Río Piedras,-25,-65,2017,2,10-02-17,19:12,RUTA NACIONAL 9/34,,Sí,KM 1484,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,40.0-44,Sí,Automóvil,Automóvil,,Varón
13106,No,Víctima,Víctima idRegistro 16662,66,Salta,66112,Metán,70,Río Piedras,-25,-65,2017,2,10-02-17,19:12,RUTA NACIONAL 9/34,,Sí,KM 1484,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Femenino,40.0-44,No corresponde,Conductor,,Automóvil,Automóvil,,Mujer,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13107,No,Imputado,Imputado idRegistro 13517,66,Salta,66112,Metán,10,El Galpón (Est. Foguista J. F. Juárez),-25,-65,2017,2,11-02-17,19:25,RUTA NACIONAL N° 16,,Sí,KM 668,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,40.0-44,Sí,Camión,Camión,,Varón
13107,No,Víctima,Víctima idRegistro 16663,66,Salta,66112,Metán,10,El Galpón (Est. Foguista J. F. Juárez),-25,-65,2017,2,11-02-17,19:25,RUTA NACIONAL N° 16,,Sí,KM 668,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Femenino,25.0-29,No corresponde,Acompañante,,Motocicleta,Motocicleta,,Mujer,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13108,No,Imputado,Imputado idRegistro 13518,58,Neuquén,58091,Pehuenches,40,Rincón de los Sauces,-37,-69,2017,1,01-15-17,17:35,RUTA PROVINCIAL 6,0,Sí,BASE OPS,Sin semáforo,Ruta Provincial,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Bueno,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,40.0-44,Sí,Automóvil,Automóvil,,Varón
13108,No,Víctima,Víctima idRegistro 16664,58,Neuquén,58091,Pehuenches,40,Rincón de los Sauces,-37,-69,2017,1,01-15-17,17:35,RUTA PROVINCIAL 6,0,Sí,BASE OPS,Sin semáforo,Ruta Provincial,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Bueno,,Intervención policial,,Masculino,30.0-34,No corresponde,Conductor,,Automóvil,Automóvil,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13109,No,Imputado,Imputado idRegistro 13519,58,Neuquén,58112,Zapala,40,Zapala,,,2017,1,01-01-17,22:25,RUTA PROVINCIAL 14,0,Sí,COMBATE DE SAN LORENZO,Sin semáforo,Ruta Provincial,Colisión vehículo-persona,Colisión vehículo-persona,,Bueno,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,35.0-39,Sí,Automóvil,Automóvil,,Varón
13109,No,Víctima,Víctima idRegistro 16665,58,Neuquén,58112,Zapala,40,Zapala,,,2017,1,01-01-17,22:25,RUTA PROVINCIAL 14,0,Sí,COMBATE DE SAN LORENZO,Sin semáforo,Ruta Provincial,Colisión vehículo-persona,Colisión vehículo-persona,,Bueno,,Intervención policial,,Masculino,50.0-54,No corresponde,Peatón,,No corresponde,Sin vehiculo,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
